Text,Type
via oberdan 28,via
via cialdini 6,via
via adua 66 e,via
via foglio 1,via
via a da giussano 40,via
via piante 26,via
via dezza 11,via
frazione beguda 49,via
via del verde 71,via
via madonna 147 c,via
via petralia sottana 55 57,via
via seminario estivo is 10 pal b n 47,via
via stazione 8,via
piazza carlo alberto 1,via
via sele 3,via
via vico 84,via
via dei prati fiscali 278,via
via f lli brizziarelli 17,via
piazza marconi 23,via
sestiere cannaregio 1249,via
via villani 16 18,via
via madonna del ponte 122,via
via bologna 21,via
via xx settembre 14,via
via viotti 40,via
corso vittorio emanuele 475,via
via cava di sopra 43,via
corso mazzini 4,via
viale trieste 33,via
via argini 28,via
via s eugenia 21,via
via aurelia 16,via
via aldo moro 47 a,via
via lenoci 2,via
via bonfante 64 6,via
via san lorenzo 12,via
via roma 106,via
via per saronno 1,via
via altoting 17,via
via maniaci nunzio 2,via
corso vittorio emanuele 331,via
via suardi 10,via
piazza del popolo 37,via
via mergellina 35h,via
via vittorio emanuele ii 15,via
via miravalle 1,via
piazza iv novembre 4,via
via tommaso d aquino 63,via
via bardonecchia 114,via
via della costituzione 25,via
via roma 67,via
via s celli 3,via
via caduti liberta 19,via
via del prete 5,via
via villa bisignano 13 a 13 b,via
piazza cavour 10 12,via
via nazionale 34,via
via giacomo leopardi 5,via
via a russi 19,via
via marconi 211,via
corso italia 216,via
via asilo pedrotti 18,via
via emilia 180,via
via belmonte 61,via
via del mare 64 a,via
corso cavour 123,via
via dei gelsi 15 a,via
via valeriana 39,via
via ugo bassi 25,via
corso umberto i 8,via
via pietro bembo 178 c,via
via xx settembre 10,via
piazza don luigi sturzo 41,via
via de giosa 52,via
via pertica 61,via
via gonzaga 1 d,via
via magenta 27,via
via san rocco 89 b,via
via olivella 7 9 11,via
via triulziana 14,via
via dell acqua cetosa 72,via
via verdi 40,via
monte verlaldo 87,via
via porrettana 385 2,via
corso gaetano d agata 138,via
strada genova 264,via
via cruto 25,via
via barletta 84 f,via
via venegoni 22,via
corso vittorio emanuele 67,via
viale della repubblica 80,via
via kennedy ang via palizzi,via
piazza s gemma galgani snc,via
via mendozza 3,via
via volvinio 25,via
via montefeltro 1,via
via bosa 11,via
via parigi 6,via
viale dei comuni 24 38,via
via matteotti 106,via
via delle settefontane 39,via
corso giacomo matteotti 140,via
via negarè 1,via
via garibaldi 73,via
via nazionale terme 178,via
via emilia ponente 24,via
corso giuseppe garibaldi 13,via
strada carignano 13,via
via del lavoro 19,via
via belgio 16,via
via giuseppe garibaldi 22,via
via vampolieri 9 f,via
via piave 28 a,via
via g branca 62,via
via a lutri 51,via
via antonio gramsci 51,via
via cavallerizza a chiaia 41,via
piazza della fontana 3 a,via
via xxv aprile 25,via
via staiti 21,via
via giuseppe garibaldi 156,via
viale vittorio veneto 132,via
viale indipendenza 28,via
via quasimodo 39,via
via civita castellana 11 13,via
via libert 11,via
via cosmonauti 2,via
corso vittorio emanuele 1,via
via pizzo scalino 22,via
via colombo 39,via
via vincenzo lancia 11 d,via
via walter fillak 7 r,via
via santo stefano in pane 4,via
via volterrana 326,via
piazza g matteotti 26,via
via della libertà 9 d,via
via alessandro manzoni 155 c d,via
via f corridoni 47,via
via g fortunato 72 74 78,via
via torino 50,via
via massimo d azeglio 15,via
via carlo cavallotto 21,via
via san giovanni 5,via
piazza della stazione 6,via
via conte alaimo 67,via
via s martino 48 f,via
via acquarone 19 r,via
piazza eroi sanremesi 3,via
via posidonia 171,via
via nazionale 156,via
corso nazionale 102,via
via valli 13,via
via gramsci 64,via
via n colajanni 76,via
via po snc,via
via giuseppe mazzini 246,via
via celano 40,via
corso sebastopoli 202 b,via
via cercariolo 7,via
via monte della giustizia 6,via
via bernocchi 3,via
via garzarolli 154,via
piazza del quartiere latino 1,via
via dell orso 1,via
via don minzoni 33,via
via inghilterra 14 16,via
viale piacenza 27 a,via
corso vittorio emanuele ii 64 66,via
via del popolo 5,via
via daniele 18,via
piazzale mazzini 29,via
via g cesare 56,via
via andrea del verrocchio 33,via
via santuario 23,via
via silvio spaventa 55,via
viale e vaccari 17 c,via
via xx settembre 18,via
via simone cuccia 13 15,via
via francesco cossiga 57,via
corso giacomo matteotti 143,via
viale di vigna pia 42 44 46,via
corso umberto 33,via
loc palazzo del pero via anconetana 59 a,via
via terracciano 53,via
via vittorio emanuele 184,via
via mazzini 56,via
via giacomo canale 56 58,via
via trento 187,via
via saponaro 34,via
via massimo d azeglio 50,via
via dei papaveri 24,via
piazza arrigucci 1 c,via
via a filangieri 67,via
via angelo spada 20,via
via s sergio 11 13,via
via padre garello 66,via
via umberto 35,via
piazza xx settembre 9,via
via mariano 1,via
via martina franca 29 a ang moretti,via
via miani 1,via
via antonio lucarelli 60,via
via s pietro 17 b,via
via cellini 1,via
paese 74,via
via delle regioni 36,via
via ho chi min 14 e,via
via domitiana 196,via
viale europa 17,via
via ghibellina 5,via
largo andrea berardi 1 ang via petrocelli,via
via giuseppe mazzini 32 34,via
via dei platani 1 b,via
circonvallazione ostiense 289,via
via regia 16,via
corso italia 126,via
via monte rosa 34,via
via sarentina 18,via
piazza dell ateneo salesiano 48,via
via santa croce 3,via
via della propositura 12,via
viale europa 40,via
via flaminia 5 7,via
via veneto 99 h,via
via roma 79,via
via san giorgio 88,via
via principe di scordia 45 a,via
piazza delle erbe 21,via
via umberto i 99,via
via peruzzi 24 b,via
via tricomi 12,via
via sant angelo 80,via
via verona 47,via
via roma 23,via
via ten montalto 14,via
via san francesco 2 b,via
via della stazione 35,via
galleria telser 8,via
piazza municipio 1,via
p zza europa 37,via
via napoli 92,via
via giovanni amendola 6,via
via gobetti 4,via
via f verdinois 36,via
via xx settembre 115 r,via
via emanuele gianturco 139 141 143,via
via nino bixio 62,via
via san gaetano 126,via
via tiarini 16,via
ripa ticinese 33,via
corso gaetano d agata 143,via
strada provinciale 60 a,via
corso vittorio emanuele 219,via
via leopoldo ruspoli 57,via
via san francesco 80 m,via
via roma 49,via
via gentile 5,via
via roma 21,via
via romani 100,via
via vico ideg piazzetta convento ndeg 3,via
via della repubblica 70,via
via e nardi 35 37,via
via xi maggio 114,via
corso indipendenza 99,via
via parini 1,via
via fratelli testa 90,via
via roma 28,via
via osvaldo licini 6,via
via danubio 7,via
via pascoli 18,via
via della liberta 50,via
via regina 21 b,via
via statale budrione migliarina 79 a,via
via vittorio emanuele ii 32,via
via caduti sul lavoro 39,via
via roma 244,via
corso italia 20,via
via vitt emanuele 60,via
via giovanni opisso 188 r,via
via traetta 158,via
via vito saraceno 1,via
viale martiri d ungheria 55 57,via
via seppiana 79,via
localit castello 64,via
via orto sdanga 8 h,via
via matteotti 9,via
piazza san lorenzo 16,via
via gatti 37 b,via
corso regio parco 36 bis b,via
via oreste petrillo 33,via
via antonio gramsci 21,via
via g piumati 5,via
corso garibaldi c o auchan 235,via
via padre pio 9,via
corso italia 1,via
via ugento 44,via
piazza giuseppe mazzini 12,via
via bramante 180,via
via trieste 43,via
piazza della chiesa 1,via
via roma 180,via
viale europa 57,via
via lavorate 61,via
via v veneto 106,via
via taverna 74,via
via e pavese 86,via
via senese 206 r,via
corso giannone 112,via
via correggio 449 1,via
via lecco 2,via
via roma 44,via
via nazionale sud 28,via
via trieste 11,via
corso umberto i 7 9,via
via roma 1 c,via
via col alt 85,via
corso umberto 57,via
via paese 6,via
via via giacinto de sivo 1,via
via matteotti 76,via
piazza salvatore lo bianco 16 17,via
via miglio xxv 7,via
via ferrarese 12 a,via
viale azuni 135,via
via panzani 65 r,via
piazza piazza failla 6 c,via
strada luigi carlo farini 42,via
via nuova 25,via
via d agostino 13,via
piazza maffeo luigi 11,via
via rovereto 118,via
riviera di chiaia 8,via
sestiere dorsoduro 993,via
via alessandro manzoni 87,via
via s antonio 14 a,via
corso liberta 15,via
via iv novembre 14,via
piazza bra 28,via
via regina elena 7,via
via s antonino pio 16 18 20,via
viale montegrappa 8,via
via del cristo 8,via
largo augusto 8,via
via g molineri 50,via
via garibaldi 20,via
via roma 16,via
largo barozzi 1,via
piazza sulis 1,via
via civitavecchia 39,via
via avv giovanni gallo 1,via
via c pisacane 45 a,via
via avezzano 10,via
via sant alessandro 10,via
corso roma 18,via
piazza della repubblica 32,via
via nazionale 91,via
via s rocco 10,via
via roma 149,via
via torretta 15,via
via fabio giordani 52 54,via
via chivasso 2 a,via
via san leonardo 2,via
via federico vallauri 14,via
via roma 6,via
via piacenza 24,via
via i maggio 8,via
via cesare maccari 312,via
via gabriele d annunzio 43,via
via conte di luserna 7,via
corso vittorio emanuele 150,via
viale liberta 19,via
frazione arensod 18,via
via roma 13,via
piazza lama 14,via
piazza erbe 17,via
via francesco crispi 62,via
vicolo giacomo zanella 1,via
via orvieto 39,via
via ivrea 75,via
via vincenzo janfolla 640,via
piazza s martino 9,via
via g b monti 23 r,via
piazza liberta 16,via
via garibaldi 37,via
via giavenale di sopra 79,via
via g garibaldi 60,via
via v veneto 31,via
via cappuccini 97,via
via vittorio veneto 100,via
via baldini 37g,via
corso umberto i 20,via
via novara 44,via
via pieve 41,via
via principe di piemonte 16,via
via tiro a segno 33,via
via vittorio emanuele 23,via
via balbi 185 r,via
via gramsci 58,via
viale della libert 38,via
via dei mille 111,via
piazza caprera 1,via
piazza gerold 1,via
via monteruscello 65 a,via
via vittorio emanuele 42,via
via iv novembre 32,via
via gioberti 10 a,via
via danzetta 7 a,via
via pola 24,via
via manfredi 115,via
via luigi vanvitelli 122,via
corso sidney sonnino 120,via
piazza v emanuele iii 8 10,via
via del magro 4,via
p za del popolo 25,via
via visconti sagarriga 102,via
via g marconi 1,via
via nazionale 21,via
corso giovanni xxiii 3,via
piazza carducci 22,via
corso italia 111,via
via allo 7,via
via f borromeo 13 15,via
piazza cavour 3,via
viale rimembranze 27,via
corso italia 42,via
via san gallo 143 r,via
via liberta 89,via
trav via noci 11 13 15,via
via f delpino 70,via
piazzale cairoli 1,via
via roma 125,via
via roma 48,via
via borgo palazzo 83,via
viale raimondello 208,via
via michele coppino 205,via
via calatafimi 2,via
via giacomo puccini 48,via
via brandizzo 27,via
viale aldo moro 60,via
via circonvallazione 47,via
via roma 17a,via
via della magliana 191 191 a,via
via sotto il monte 7,via
via taranto 162,via
via provinciale 52 b,via
via s onofrio 75,via
piazza manfredo fanti 36 37,via
via europa 8,via
via di tor millina 6,via
via ravagnese 2 4,via
via orfanotrofio 21,via
corso c manacorda 30,via
via roma 16 a,via
via mameli 267,via
via borgo 30,via
via vittorio emanuele 141,via
via tremana 7 b,via
piazza vittorio emanuele 2,via
via pietro nenni 50,via
via roma 315,via
corso umberto i 98,via
via garibaldi 19,via
via iv novembre 28,via
via duca d aosta 43 a b c,via
viale giuseppe mazzini 5 r,via
via emilia romagna 24,via
via boccea 254,via
via quintino sella 126,via
via dante 3,via
largo n cannella 7,via
corso roma 79,via
viale kennedy 40,via
via ettore gabrielli 43,via
via cala dell arciprete 2 o,via
via piazza 19,via
via pimentel 7 9,via
via nazionale 16,via
via c dolfin 50,via
viale consiglio d europa 18,via
piazza del rosario 5,via
via vittorio emanuele 95,via
corso della repubblica 41,via
via lazio 50,via
via vittime di bologna 1,via
via taranto 29,via
via sabotino 42,via
via vicinale canterno 52,via
largo donaggio 9 10,via
via inverse 5,via
corso europa 7,via
via umberto 19,via
via elio lampridio cerva 147,via
via roma 40 42,via
via vittorio emanuele ii 3,via
via beneduce 1,via
via matteotti 26,via
corso siracusa 98,via
via verdi 445,via
via della repubblica 86,via
corso resina 321 323,via
piazza duomo 1,via
via vittorio veneto 129,via
via generale della chiesa 25,via
via francesco crispi 515,via
via magenta 35,via
via manzoni 9,via
via papa giovanni xxiii 17,via
via vittorio emanuele iii 200,via
via santa croce 12,via
piazza santa anna 2,via
via risorgimento 71,via
via capitano emanuele basile 14,via
via tufarelli 50,via
via roma 98,via
via medaglie d oro 19,via
via venezia 1,via
via emilia ovest 22,via
piazza italia 11,via
via vittorio emanuele 118,via
via generale cortella 2,via
via giovanni gentile 35,via
via minghetti 81,via
via lenner 2,via
via bettoia 70,via
piazza artioli lidio 3,via
via vittorio veneto 110,via
via don alessandro niccoli 3,via
via ettaro 20,via
via monte cengio 5,via
via piave 36,via
viale italia 196,via
corso della repubblica 158,via
via gioia 38 40,via
via paestum 8,via
via palma 68,via
via 1 maggio 22,via
via borgo 38,via
via risorgimento 232,via
ss variante nord 82,via
via toledo 388,via
via lonato 4,via
viale furio camillo 51,via
piazza giovanni paolo ii 35,via
via ivrea 63 a,via
via plebiscito 13,via
via chiarelli 10,via
corso unione sovietica 491,via
via xiii martiri 169,via
viale ronaldo vignali 66,via
via de seta 19,via
via pistoiese 174 d,via
viale xxiv maggio 88,via
via guglielmo marconi 94,via
via catania 122,via
via vittorio de sica 32,via
via conte a pepoli 281,via
via andrea costa 23,via
via e colpi 179,via
via nazionale 298,via
via arturo toscanini 130,via
via posidonia 271,via
corso francia 208,via
piazza umberto i 9 10,via
via pozzillo 40 a,via
via dei macelli snc,via
via diaz 20,via
via g stagliano 227,via
via f lli perito 3,via
via madama cristina 62,via
via xxv aprile 33,via
largo mazzini 14,via
via illirico 2,via
largo don bosco 1,via
corso umberto 42,via
via san vincenzo 90 r,via
via ponte aquila 4,via
piazza repubblica 16,via
via figurelle r d azeglio 5,via
corso umberto i 11,via
via san francesco d assisi 13,via
via giuseppe garibaldi 142 a,via
via dei visconti 2,via
via cavalleria 32,via
via re david 184 a,via
via s martino 31,via
piazza verbano 14,via
via taviele 3,via
viale felice fontana 1,via
via orefici 2,via
piazza maciachini 24,via
via don luigi sturzo 12,via
via terracciano 69,via
via trionfale 118,via
via brindisi 120,via
viale magna grecia 262,via
via nazionale delle puglie 195,via
via milano 35,via
corso matteotti 263,via
piazza dei sofisti 4 5,via
corso vittorio emanuele 733,via
via matteotti 24 26,via
corso garibaldi 34,via
via v amedeo 103,via
via la spezia 3,via
via fratelli garrano 3,via
via sermoneta 10,via
via roma 200,via
via aurelia sud 76,via
via n dattilo 9,via
via vibo 17 b,via
via degli alpini 11,via
via del castello 2,via
via nicola garrone 31,via
piazza martiri della libertà 1,via
viale francesco ferrari 43 d,via
via andrea mantegna 42 44,via
via madama cristina 14,via
via alessandro volta 1,via
via guaiarini 33 1,via
via tripoli 19,via
via della cellulosa 42 42a,via
via maiocchi 14,via
via nazionale 2 e,via
via tuscolana 855 d,via
viale vittorio veneto 133,via
corso roma 64,via
via cesare battisti 87,via
via alcide de gasperi 2,via
via vergini 39,via
corso 6 aprile 118,via
corso umberto i 106,via
via vaudamus 9 11,via
c so cavallotti 71,via
via dei fanti 2,via
via dragonetto bonifacio 139 141,via
piazza selinunte 4,via
piazzale g miliani 4 a,via
via xxiv maggio 67,via
via del molinuzzo 111,via
via del terminillo 51 b,via
via carducci 19 b,via
corso sempione 5,via
via regina 36,via
circonvallazione gianicolense 186 a,via
corso matteotti 48,via
via fontana nuova 3,via
via cagliari 149,via
via fontana 1 angolo c so porta vittoria 36,via
piazza principessa clotilde 1,via
viale calabria 78,via
via misericordia 6,via
via borgonovo 24,via
piazza 1 maggio 5,via
via pedagni 48 b,via
corso giuseppe mazzini 83,via
via agostino depretis 45,via
via europa 4 a,via
viale tiberio 49,via
via polleri 20 r,via
largo moncada 1,via
via colombo 34,via
via benvenuti 28,via
via bartolo longo 7,via
via ajarnola 4,via
piazza municipio 5,via
corso a pio 35,via
via torino 45,via
via casilina 2023 2025,via
via dei sardi 29,via
via dell indipendenza 54,via
via dell ermellino 28,via
viale spinelli 19,via
mura del prato 12 r,via
via noldin 23,via
piazza amedeo 2,via
via gabriele d annunzio 45,via
via libert 133,via
via alassio 204,via
piazza giovanni xxiii 14,via
via cesare battisti 155,via
via pasubio 1,via
via manzoni 159,via
via dante 6,via
sestiere castello 1792,via
via argentesi 23 a,via
via umberto i 54,via
viale taranto 9,via
via armando diaz 90,via
via giuseppe mazzini 40,via
via iv novembre 26,via
via vittorio emanuele 86,via
piazza matilde serao 12 13,via
via castello 4,via
via sammarco 56,via
via s giovanni sul muro 9,via
via fontebuono 45,via
piazza liberta 9,via
largo orbassano 70,via
via p traiano 5,via
via gramsci 7,via
piazza luceoli 25,via
corso gelone 91,via
corso nizza 48,via
via verzone 34,via
via montemarcone 30,via
corso g di vittorio 45,via
corso alessandro volta 67,via
via san giovanni 2,via
porta napoli 9,via
via casilina sud km 148 300,via
corso cavour 26,via
largo la foppa 1,via
piazza vittoria 10,via
piazza della borsa 12,via
via marpegane 19,via
via murri 131,via
via mazzini 15,via
via del clero 13,via
via gradoni di chiaia 38,via
piazza vittoria 18,via
piazza xxii luglio 1944 11,via
via mercanti 62,via
corso g fortunato 212,via
via enrico giachino 53,via
via roma 20 24,via
via roma 9 b,via
via matteotti 21,via
via alessandro volta 128,via
via il borgo 7,via
via degli albatri 10,via
via s carlo 7,via
via roma 34 a,via
via zaccherini 28 m,via
strada casale asti 94,via
via s silvestro 63,via
via bacaredda 63,via
via carmine 9,via
via cino 33,via
rione margherita 16,via
rione palazzi 53,via
corso vittorio emanuele 59,via
via bolzano 3,via
via accursio miraglia 28,via
via plana 55,via
piazza madonna degli aldobrandini 17,via
via f filzi 10,via
via repubblica 48,via
via dell acqua bullicante 202,via
via del castello 1,via
via san quirico 4,via
via cavour 37,via
via luca giordano 67 a,via
via giosue borsi 114,via
via giuseppe garibaldi 12 ang via g b grassi,via
via filangeri 2,via
via principe di piemonte 1,via
via garibaldi 2 a,via
via dante alighieri 2,via
piazza liberta 17,via
strada statale ticinese 32 17 19ticinese 17 19,via
piazza municipio 8,via
via aurelio spampinato 35,via
via dante 88,via
piazza pontida 6,via
san marco 3717,via
via g besio 55 b c,via
corso italia 103,via
via lancia di brolo 151 f,via
piazza silva 34,via
via torino 1,via
via toti 1 a,via
via cagliari 4 b,via
via alcide de gasperi 38,via
via arturo labriola 75 77,via
via xxv aprile 20 22,via
p zza cigni 2,via
strada fermana 6 b,via
piazza cavour 39,via
via repubblica 75,via
via iv novembre 64,via
corso repubblica 119,via
via meravigli 12,via
largo arenula 36,via
via roma 81 83,via
p za fontana 6,via
via statuto 255,via
piazza mare 1,via
corso eleonora 20,via
via cavallotti 3 5,via
corso umberto 485,via
via nazionale 102,via
via michele berrino 6,via
via paravia 75,via
via roma 128,via
via benedetto croce 108,via
via angioj 21,via
piazza kennedy 7,via
via ausonio 2,via
via chieri 62,via
via principe amedeo 7,via
via giuseppe garibaldi 27,via
via stella 102,via
via pegoraro 30,via
via la cà 50,via
via giuseppe garibaldi 70,via
via giovanni amendola 58,via
via giovanni amendola 15,via
via costa sole 22,via
via antonio cecchi 54,via
corso italia 33,via
viale vicenza 85,via
via ss salvatore 19,via
via orvietana est 7,via
corso giuseppe mazzini 51,via
viale liguria 14,via
via umberto ideg 11,via
piazza municipio 16,via
via armando diaz 17,via
piazza europa 3,via
largo casaleno 1,via
via dante alighieri 39,via
via s marco 15,via
via giacomo matteotti 11,via
via pian della tora 3,via
via antonio genovesi 2,via
corso cavour 28,via
via parisi 5,via
via del carmine 1,via
lungomare terra d otranto 73,via
via anapo 38 40,via
strada torino druento 10,via
corso roma 45 6,via
via alessio mazzocchi 23,via
corso repubblica 102,via
via mazzini 17,via
piazzetta porta guccia 9,via
p tta bivio 10,via
corso giuseppe mazzini 13,via
via nuovo tempio a patierno 191,via
via piossasco 54,via
via xx settembre 6 bis,via
via san camillo 2,via
corso italia libera 6,via
via s tempia 6,via
via aurelia 712 d,via
piazza iv novembre 26,via
piazza s luigi gonzaga 3,via
via de luca 13,via
via commerciale 21,via
via pietro marchisio 91 97,via
via v veneto 16,via
via berlinguer 249,via
via cà baroncello 60,via
via daneri 38,via
via s salvatore 103,via
via san sebastiano 116,via
via pascoli 16 c,via
via statale 19,via
piazza carita 9,via
via oropa 69,via
via vittorio emanuele iii 477,via
via risorgimento 34,via
corso tukory 82,via
piazza aldo moro 4,via
via poggio a capodimonte 25,via
via scalilla 22 24,via
corso italia 100,via
via roma 59,via
piazza dei quiriti 1 2,via
via dalmazia 49,via
via roma 20,via
via marconi 200,via
via dino cattaneo 14,via
viale bonomi 25,via
via callipoli 240,via
via colocasio 94,via
vico delle scale 3,via
via vittorio veneto 116,via
via alessandro manzoni 113 b,via
via jori 23 r,via
via nicolò palmieri 149,via
viale g leopardi 76,via
via g pacini 15,via
via angelo camillo de meis 647,via
via volturno 76 b,via
piazza s t gulfi s n c,via
piazza giacomo matteotti 13,via
via mercato 44,via
corso san felice e fortunato 117,via
via giorgio la pira 39,via
piazza rizzone 38,via
via palmiro togliatti 16 18,via
piazza martiri d ungheria 142 144,via
corso vittorio emanuele 65,via
corso alberto pio 94,via
via alessandro manzoni 1,via
strada provinciale valchiusella 2 2,via
via 42 martiri 13 a,via
via giuseppe garibaldi 153,via
via ferrarese 160,via
via stazione 1,via
via francesco de sanctis 16,via
via cairoli 77,via
via guglielmo marconi 6,via
via tor de schiavi 39 39a,via
via recanati 1,via
via fleming 3,via
via mandelli 29,via
via e a pizzofalcone 7,via
via ruffini 21 b,via
corso vittorio emanuele 116,via
via aldo moro 134 c 8,via
via l amione 40,via
via nicola fabrizi 102,via
via morozzo della rocca 34,via
via bari 19,via
via colzani 135,via
via guglielmo marconi 5,via
via g dalla chiesa 1,via
via certo 2,via
via volturno 78 a,via
corso buenos aires 4,via
largo r margherita 2,via
via san lorenzo 55 bis,via
via lago molveno 10,via
via via padre iginio lega 54,via
corso vittorio emanuele 74 a,via
via s m mazzarello 18 d,via
via salaria 56,via
via rubini 9,via
piazza leopardi 2,via
via san pietro 26,via
via promessi sposi 68,via
piazza g verdi 13,via
via campodonico 1 b,via
via como 16 18,via
via roma 7 9,via
piazza istria 8,via
corso michelangelo 136 138 140,via
viale delle terme 31,via
via foti 3,via
via colombarone 51,via
via guarneri del gesu 2,via
via varese 46 a,via
via giuseppe mazzini 26,via
piazza giacomo matteotti 1,via
ponte zaera 8 ang viale europa,via
via xxiii marzo 20,via
via melchiorre gioia 135,via
via r pettazzoni 24,via
piazza nettuno 34,via
piazza alpini 23,via
via a de gasperi sesta traversa 1,via
via ennio 173,via
via stazione 5,via
via carlo capelli 67,via
via loreto 8,via
via giuseppe garibaldi 32,via
contrada fondaco 10,via
via aurora 27,via
via pietro nenni 314,via
corso umberto 31,via
via giovanni falcone e paolo borsellino 82,via
via p nenni 57,via
via pistoiese 647,via
via martiri della libertà 17,via
viale repubblica 86,via
c so del popolo 59,via
piazza umberto 14,via
via alessandro torlonia 1 b,via
viale salvatore raffaele 1,via
via giacomo matteotti 214,via
via annunziata 64,via
via luigi cibrario 33 bis,via
via roma 13 a,via
piazza verdi 6,via
via santa caterina 39,via
via edmondo de amicis 18,via
via guaita 16,via
piazza castello 26,via
via principe di napoli 9,via
viale dei caduti 69,via
piazza xx settembre 56,via
via tedesca 29,via
viale mario milazzo 161,via
via giacomo matteotti 29,via
via piana dei greci 5,via
via gramsci 1,via
largo plebiscito 44,via
piazza giacomo matteotti 26,via
viale belgio 22,via
via garibaldi 66,via
via antonino zacco 27,via
via casnedi 4 b,via
piazza osella 12,via
piazza italia 1,via
via vittorio veneto 57,via
via barberini 58,via
viale g baccelli 70,via
piazza marconi 1,via
via garibaldi 74,via
via sauli pallavicino 54,via
via salemi 588,via
via posillipo 250 a,via
piazza nicola amore 25,via
via rovani 84,via
via quinto ennio 55,via
via p ravasi 40,via
piazza cavour 27,via
corso umberto i 120,via
via emilia ponente 1665,via
via garibaldi 9,via
via falconi 30,via
via andrea doria 11,via
via roma 52,via
via nazionale 120,via
via coppi 31,via
corso matteotti 29,via
viale frentano 65,via
via vittorio emanuele 70,via
c so roma 2,via
piazza atleti azzurri d italia 9,via
corso g garibaldi 100,via
viale mario rapisardi 61,via
via iv novembre 3,via
via costaroni 63,via
via aquaroni 72,via
via noalese 4,via
corso repubblica 70,via
via l bodio 73,via
via bramante 49,via
via crema 17,via
via di ponente 11,via
via dante alighieri 69,via
corso umberto i 75,via
via borgaro 58,via
via iv novembre 133 e,via
via dei goti 139,via
piazza barborini e d andrea 2,via
via s maria la nova 3,via
via faentina 102,via
via carlo sigonio 12 c,via
via isonzo 27,via
via pasquale pastorino 32 r,via
via delle grotte 40,via
via a de gasperi 31,via
via xxv aprile 14,via
viale xxi aprile 2e 2f,via
via marzano 21,via
via san giuseppe 65,via
via massarenti 108,via
via cadorna 30,via
via a martino 11,via
piazza della libert 7,via
via pinerolo 84 4,via
via bulgaria 35,via
piazza trento e trieste 1,via
piazza dei signori 49,via
via pegli 56,via
riviera di chiaia 77,via
santa maria a cubito 185,via
via risorgimento 175,via
via la marmora 55,via
via capoluogo 50,via
piazza alessandro manzoni 12,via
corso giacomo matteotti 120,via
via alessandro manzoni 24,via
via dei mille 2,via
via xxv aprile 101,via
via d ossuna 177,via
via dei sampieri 6 complesso iacp,via
corso vittorio emanuele 129,via
corso aldo moro 112,via
via anguillarese 111 113,via
piazza garibaldi 3,via
via san vincenzo 92 r,via
corso btg aosta 53,via
via antonio giannelli 8,via
via della costituzione 8,via
via dei conti 20r,via
piazza croce 4,via
via puccini 9,via
via edison 19,via
via bormida 7 9,via
corso umberto i 9 11,via
viale g baccelli 22,via
via sabatino lopez 3,via
via guglielmo marconi 213,via
via manfredi 5,via
via giovanni battista pergolesi 70 74,via
corso dogali 39 r,via
via g sartorio 36,via
piazza b cairoli 5,via
via xxiv giugno 27,via
via iv novembre 5 a,via
via geroldi 40,via
corso umberto 86,via
via aquacalda 2,via
piazza monumento 37,via
viale gramsci 545,via
via manno 63,via
corso giuseppe garibaldi 38,via
via dante alighieri 5,via
via monteruscello 31 b,via
contrada dei forti san francesco 1,via
via primicerio 24 30,via
via xx settembre 11,via
corso repubblica 5,via
via aversa 8,via
piazzale antonio gramsci 10,via
via bari 30,via
via del lanico 6,via
via pietro mascagni 2,via
via s michele 9,via
via delle ore 24,via
via g b fardella 119,via
via umberto 54,via
via atzori 81,via
via teresa masselli 69,via
via don minzoni 132,via
piazza tosti 23,via
via cavour 6,via
via francesco casilino 2 a,via
via della concordia 211,via
via v veneto 282,via
via antonio pacinotti 104,via
via del lagaccio 28 r,via
via f parri 41 g,via
scesa giuseppe mazzini 2,via
via giuseppe verdi 60,via
via buonarrotti 58,via
via cividale 294,via
via prinetti 56,via
via paolo sacchi 46,via
via procoio 55 a,via
via jacopo magnolino 1,via
largo lamarmora 1,via
corso umberto 104,via
via roma 17,via
via mazzini 25,via
via rocco chinnici 5 a,via
via variante 8 10,via
via romagnoli 9 11,via
via guglielmo marconi 2,via
via cesare battisti 49,via
piazza bernini 1 a,via
via fratelli bandiera 118,via
via dei renai 112,via
via roncadelle 44,via
via e giglioli 69,via
via torino 16,via
via don minzoni 28,via
corso savoia 12,via
viale margherita 186,via
via giovanni xxiii 3,via
vicolo umberto i 23,via
corso giuseppe garibaldi 19 d,via
piazza trento e trieste 8,via
piazza della costituzione 3,via
via del progresso 71,via
via casenuove 54,via
via circonvallazione italia 54,via
via orsa maggiore 5,via
via della sapienza 5 7,via
corso liberta 11,via
via rimembranze 13,via
via mugnano marianella 11 a,via
via zingales 6,via
via francesco petrarca 14 16,via
via s biagio platani 272 a,via
p zza san pietro 91,via
via l saettone 76,via
via ripa ticinese 99,via
via montalbano 208,via
piazza grande 20,via
via roma 118,via
piazza della sorgente 7,via
via armistizio 21 c,via
corso francia 172 174 176,via
via mazzini 9 bis,via
via garibaldi 4,via
piazzale san bartolomeo 28,via
via chiesa della salute 64,via
via callipoli 171,via
largo cimabue 1,via
corso italia 178,via
piazzale clodio 54,via
piazza s giovanni 6,via
piazza dante livio bianco 10,via
via delle cinque miglia snc,via
via martiri liberta 44,via
piazza della liberta 47 r,via
via nazionale 123,via
via a de gasperi 1,via
via sanita 121,via
via vittorio emanuele 16,via
via della libertà 256,via
via targetti 13,via
